method,mean_mse,sd_mse,n_folds,mse_sd
EACS,0.48252639082345095,0.01516146839175463,5,0.483 (0.015)
Anchor,0.49392740880844804,0.014559554389620777,5,0.494 (0.015)
OLS,0.4941353810375387,0.014590558614699977,5,0.494 (0.015)
Lasso,0.4942490957668474,0.014508664623928913,5,0.494 (0.015)
Ridge-Int,1.2125620526075365,0.4124065916116638,5,1.213 (0.412)
