dataset,method,detail,mean_mse,sd_mse,n_folds,mse_sd
Bike-sharing,Oracle,,29.2365785245653,9.34887703320347,5,29.237 (9.349)
Bike-sharing,RF-X,random forest on X only,34.73499379084247,8.572681294320144,5,34.735 (8.573)
Bike-sharing,RF-Aug,"random forest on (X, u_e)",29.54579308117157,6.53665809236586,5,29.546 (6.537)
Bike-sharing,EACS,adaptive subset selector,34.1788444622044,9.257487083564097,5,34.179 (9.257)
Bike-sharing,Best fixed subset,"atemp, hum, windspeed",35.00595193841467,8.651688771473168,5,35.006 (8.652)
Bike-sharing,Ridge-Int,"ridge on X, u_e, and X ⊗ u_e",53.34563329307042,50.152929088017004,5,53.346 (50.153)
